label,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23
A,0.21659845,0.2457903,0.17019673,0.11927368,0.33724007,0.18398695,0.10158295,0.14332792,0.22817273,0.9877128,0.36393812,0.22303402,0.27557194,0.2339364,0.17563707,0.15370536,0.08874073,0.08558716,0.12557992,0.18533996,0.28384066,0.053932402,0.120893344,0.22268073
A,0.24660978,0.2692995,0.1890627,0.11479655,0.6378969,0.3227138,0.105085075,0.113020815,0.16261198,0.8842214,0.48735717,0.2949496,0.29719695,0.2987247,0.21399374,0.15594572,0.2757438,0.107330665,0.14713238,0.14514393,0.21790539,0.2263159,0.22241583,0.3232665
A,0.217478,0.23652218,0.18443316,0.13591391,0.93157446,0.38162145,0.13176322,0.18458465,0.2737131,0.79784715,0.34961855,0.22635357,0.20882131,0.17487103,0.11205945,0.13345684,0.16619796,0.07229605,0.1374346,0.17869346,0.24159358,0.12182991,0.13715436,0.19499455
A,0.19115657,0.26401052,0.19267504,0.13705428,0.8302628,0.35424855,0.12540072,0.19231066,0.24680147,0.9375823,0.4169369,0.21379569,0.21740268,0.22075404,0.17361161,0.16982563,0.22778697,0.10228593,0.15531707,0.2370837,0.25582987,0.0782739,0.18848635,0.20073639
A,0.31694847,0.41746226,0.19078039,0.14896196,0.4957594,0.15857156,0.15342706,0.19805786,0.29033983,0.95399135,0.34310627,0.4935801,0.28211555,0.25213477,0.18282573,0.15216438,0.1704129,0.14826572,0.18192205,0.24863034,0.3159603,0.10220101,0.30671147,0.29560006
A,0.31723535,0.4473281,0.24317484,0.10458528,0.51643926,0.23765555,0.10048427,0.12195232,0.18365218,0.9452992,0.36110017,0.43227038,0.2687877,0.25750566,0.16966078,0.11866262,0.20920502,0.13017792,0.12856239,0.1745312,0.19574608,0.12388377,0.19214857,0.28939348
A,0.26620927,0.36515224,0.17027336,0.14921226,0.65624416,0.15796673,0.11585271,0.17081875,0.23048474,0.8626593,0.26059562,0.39998087,0.28066647,0.27420658,0.17822322,0.19584651,0.23184964,0.16960305,0.14771442,0.23238721,0.26792115,0.21973316,0.28528032,0.33058274
A,0.16170067,0.22150539,0.1101749,0.090759315,0.7218787,0.105724305,0.07620613,0.108287975,0.18011363,0.8342943,0.21202724,0.20741767,0.20718762,0.257368,0.13093808,0.103704296,0.28046292,0.09638207,0.10446703,0.16384201,0.24043632,0.21142787,0.2652996,0.21760625
A,0.20287237,0.25451234,0.1826519,0.12664841,0.91229355,0.3314128,0.119322546,0.135524,0.18621989,0.54167813,0.29903528,0.21803339,0.2395062,0.23719871,0.18750677,0.143348,0.19312654,0.07196502,0.1481973,0.17245369,0.19642784,0.2513059,0.20239456,0.24296947
A,0.16571735,0.221323,0.16543016,0.092701584,0.88261175,0.35571784,0.08925975,0.087038904,0.14377342,0.48742926,0.26901227,0.22574593,0.21881735,0.23694165,0.17719999,0.13520011,0.22182082,0.061009914,0.13240454,0.11232651,0.17076498,0.27427793,0.19341622,0.3174459
A,0.33529794,0.39432502,0.26443297,0.124565996,0.65819407,0.31244034,0.12561141,0.13298452,0.21532053,0.82749426,0.45850033,0.45375907,0.293937,0.20962921,0.15048869,0.13261937,0.29380634,0.12542072,0.13146657,0.15686083,0.19666885,0.21660134,0.20920196,0.35375616
A,0.21291457,0.22878936,0.17003447,0.12190133,0.53310513,0.24622339,0.114816256,0.14609554,0.21215868,0.966933,0.36888456,0.23109093,0.30053422,0.27605507,0.22314471,0.18514323,0.14109215,0.08526769,0.17587739,0.22399294,0.28870144,0.10291798,0.15354703,0.286102
A,0.29642844,0.50610954,0.3442638,0.17008735,0.6961892,0.3071186,0.13987769,0.15944241,0.24210969,0.8416893,0.45261717,0.41614592,0.3055546,0.2940903,0.22587964,0.2117791,0.22209357,0.10133346,0.17343456,0.19666679,0.2415341,0.21431018,0.1592321,0.37913603
A,0.3051442,0.50254434,0.30613512,0.14670992,0.6368643,0.27614284,0.12661152,0.1723207,0.2185422,0.91044384,0.43036184,0.38001475,0.30334806,0.28152785,0.1916374,0.1760271,0.2260942,0.15177368,0.14956519,0.21236737,0.22681603,0.14539963,0.24963564,0.3278921
A,0.27828693,0.3627488,0.26943713,0.18593535,0.7327132,0.35836875,0.1714759,0.2022941,0.3637579,0.8951417,0.44375512,0.33059108,0.20659548,0.17025694,0.1291379,0.14389437,0.26995867,0.10066448,0.1357632,0.15511301,0.22643465,0.1617097,0.18357362,0.24999359
A,0.17217743,0.2455348,0.19514558,0.10476164,0.8494129,0.39913186,0.08655267,0.115381114,0.19217846,0.57639444,0.30539215,0.19412477,0.2258658,0.20455146,0.14073008,0.11469159,0.25752166,0.049029853,0.1027084,0.13608314,0.24043956,0.3098025,0.22423859,0.21433789
A,0.4443796,0.59414524,0.36118668,0.18083881,0.46581826,0.27887902,0.16675372,0.21933846,0.27746427,0.94355917,0.48920584,0.5798644,0.28804225,0.18190786,0.15090887,0.15501793,0.15383394,0.10758249,0.17555037,0.24213769,0.23839693,0.119785994,0.19740742,0.2897474
A,0.38906494,0.6934343,0.43976715,0.16273537,0.5589778,0.38651192,0.14368312,0.15631086,0.23499063,0.89878523,0.5298041,0.48052764,0.2616171,0.22533546,0.16528137,0.14676698,0.15571171,0.118595146,0.14560668,0.16088645,0.24513115,0.15293647,0.22631659,0.27953422
